type,model_mkt,display_name
motherboards,ROG RG-07 PERFORMANCE THERMAL PASTE,ROG RG-07 PERFORMANCE THERMAL PASTE
motherboards,,ROG Strix LC III 240 ARGB
motherboards,ROG Strix LC III 240 ARGB White Edition,ROG Strix LC III 240 ARGB 白龍
motherboards,ROG Strix LC III 360,ROG Strix LC III 360
motherboards,ROG Strix LC III 360 ARGB,ROG Strix LC III 360 ARGB
motherboards,ROG Strix LC III 360 ARGB White Edition,ROG Strix LC III 360 ARGB 白龍
motherboards,TUF Gaming LC II 240 ARGB,TUF Gaming LC II 240 ARGB
motherboards,,ROG RYUJIN III WB
motherboards,,ROG RYUJIN III WB White Edition
motherboards,,ROG STRIX LC III 360 ARGB LCD
motherboards,,ROG STRIX LC III 360 ARGB LCD 白龍
servers,P13R-M/10G-2T,P13R-M/10G-2T
accessories,SDRW-08D2S-U,SDRW-08D2S-U
servers,P13R-M,P13R-M
servers,Z13PE-D16,Z13PE-D16
servers,S14NA-U12,S14NA-U12
servers,K14PA-U12,K14PA-U12
servers,P13R-I,P13R-I
servers,P13R-E,P13R-E
servers,P13R-E/10G-2T,P13R-E/10G-2T
servers,PEI-10G/X710-2T,PEI-10G/X710-2T
servers,OEI-10G/X710-2T,OEI-10G/X710-2T
motherboards,WS C621E SAGE,WS C621E SAGE
motherboards,WS X299 SAGE,WS X299 SAGE
motherboards,WS C422 PRO/SE,WS C422 PRO/SE
motherboards,WS X299 PRO,WS X299 PRO
motherboards,WS X299 PRO/SE,WS X299 PRO/SE
motherboards,WS C246M PRO,WS C246M PRO
motherboards,WS C246 PRO,WS C246 PRO
motherboards,WS X299 SAGE/10G,WS X299 SAGE/10G
motherboards,WS C422 SAGE/10G,WS C422 SAGE/10G
motherboards,WS Z390 PRO,WS Z390 PRO
motherboards,Pro WS X299 SAGE II,Pro WS X299 SAGE II
motherboards,Xonar SE,Xonar SE
accessories,ROG-THOR-1200P,ROG THOR 1200W 白金牌
accessories,ROG-THOR-850P,ROG THOR 850W 白金牌
accessories,ROG-STRIX-750G,ROG STRIX 750W 金牌
accessories,ROG-STRIX-650G,ROG STRIX 650W 金牌
accessories,ROG-STRIX-550G,ROG STRIX 550W 金牌
accessories,ROG-STRIX-850G,ROG STRIX 850W 金牌
accessories,ROG-STRIX-850G-WHITE,ROG STRIX 850W 金牌 潮競白
accessories,ROG-STRIX-1000G,ROG STRIX 1000W 金牌
accessories,ROG-STRIX-850G-GUNDAM-EDITION,ROG STRIX GUNDAM 850W 金牌
accessories,ROG-STRIX-750G-N,ROG STRIX 750W 金牌 (16-pin 線材)
accessories,ROG-STRIX-850G-N,ROG STRIX 850W 金牌 (16-pin 線材)
accessories,ROG-STRIX-850G-WHITE-N,ROG STRIX 850W 金牌 潮競白 (16-pin 線材)
accessories,ROG-STRIX-1000G,ROG STRIX 1000W 金牌 (16-pin 線材)
accessories,TUF-GAMING-750B,TUF-GAMING-750W 銅牌
accessories,TUF-GAMING-650B,TUF-GAMING-650W 銅牌
accessories,TUF-GAMING-550B,TUF-GAMING-550W 銅牌
accessories,ASUS Wireless Power Mate (W1G-AWPM),ASUS Wireless Power Mate
accessories,ROG-THOR-1600T-GAMING,ROG THOR 1600W 鈦金牌
accessories,ROG-THOR-1200P2-GAMING,ROG THOR II 1200W 白金牌
accessories,ROG-THOR-850P2-GAMING,ROG THOR II 850W 白金牌
accessories,ROG-THOR-1000P2-EVA-GAMING,ROG Thor II 1000W EVA 限定版 白金牌電源供應器
accessories,ROG-THOR-1000P2-GAMING,ROG THOR II 1000W 白金牌
accessories,ROG-LOKI-1200T-SFX-L-GAMING,ROG Loki SFX-L 1200W 鈦金牌
accessories,ROG-LOKI-1000P-SFX-L-GAMING,ROG Loki SFX-L 1000W 白金牌
accessories,ROG-LOKI-850P- WHITE-SFX-L-GAMING,ROG Loki SFX-L 850W 白金牌白色版
accessories,ROG-LOKI-850P-SFX-L-GAMING,ROG Loki SFX-L 850W 白金牌
accessories,ROG-LOKI-750P-SFX-L-GAMING,ROG Loki SFX-L 750W 白金牌
accessories,ROG-STRIX-1200G-AURA-GAMING,ROG STRIX AURA 1200W 金牌
accessories,ROG-STRIX-1000G-AURA-GAMING,ROG STRIX AURA 1000W 金牌
accessories,ROG-STRIX-850G-AURA-GAMING,ROG STRIX AURA 850W 金牌
accessories,ROG-STRIX-750G-AURA-GAMING,ROG STRIX AURA 750W 金牌
accessories,ROG-STRIX-1000G-AURA-WHITE-GAMING,ROG STRIX 1000W Aura金牌 潮競白
accessories,ROG Wingwall Graphics Card Holder,ROG Wingwall Graphics Card Holder
accessories,ROG Strix Graphics Card Holder,ROG Strix Graphics Card Holder
accessories,TUF-GAMING-1000G,TUF Gaming 1000W 金牌
accessories,TUF-GAMING-850G,TUF Gaming 850W 金牌
accessories,TUF-GAMING-750G,TUF Gaming 750W 金牌
accessories,TUF-GAMING-1000G-WHITE,TUF Gaming 1000W Gold 軍戎白
accessories,AP-850G,ASUS Prime 850W Gold
accessories,AP-750G,ASUS Prime 750W Gold
accessories,ROG Delta,ROG Delta
accessories,ROG Delta Core,ROG Delta Core
accessories,ROG Strix Magnus,ROG Strix Magnus
accessories,ROG Throne Qi,ROG Throne Qi
accessories,ROG THRONE,ROG THRONE
accessories,ROG Theta 7.1,ROG Theta 7.1
accessories,ROG Strix Go 2.4,ROG Strix Go 2.4
accessories,ROG Eye,ROG Eye
accessories,TUF GAMING H3,TUF GAMING H3
accessories,ROG Delta White Edition,ROG Delta White Edition
accessories,ROG Throne Core,ROG Throne Core
accessories,ROG Delta S,ROG Delta S
accessories,AI Noise-Canceling Mic Adapter,AI Noise-Canceling Mic Adapter
accessories,ROG Clavis,ROG Clavis
accessories,ROG Strix Go 2.4 Electro Punk,ROG Strix Go 2.4 Electro Punk
accessories,ROG Strix Go,ROG Strix Go
accessories,ROG STRIX GO CORE,ROG STRIX GO CORE
accessories,ROG Cetra II,ROG Cetra II
accessories,ROG Cetra RGB,ROG Cetra RGB
accessories,ROG Fusion II 500,ROG Fusion II 500
accessories,ROG Fusion II 300,ROG Fusion II 300
accessories,ROG Strix Go BT,ROG Strix Go BT
accessories,TUF Gaming H3 Wireless,TUF Gaming H3 Wireless
accessories,ROG Delta Origin,ROG Delta Origin
accessories,ASUS Webcam C3,ASUS Webcam C3
accessories,ROG Eye S,ROG Eye S
accessories,ROG Cetra II Core Moonlight White,ROG Cetra II Core Moonlight White
accessories,ROG Delta S Animate,ROG Delta S Animate
accessories,ROG Strix Go Core Moonlight White,ROG Strix Go Core Moonlight White
accessories,TUF Gaming H1 Wireless,TUF Gaming H1 Wireless
accessories,TUF Gaming H1,TUF Gaming H1
accessories,ROG Cetra True Wireless,ROG Cetra True Wireless
accessories,ROG Delta S EVA Edition,ROG Delta S EVA 限定版
accessories,ROG Delta S Wireless,ROG Delta S Wireless
accessories,ROG Delta S Core,ROG Delta S Core
accessories,ROG Cetra True Wireless SpeedNova,ROG Cetra True Wireless SpeedNova
accessories,ROG Carnyx,ROG Carnyx
accessories,TUF GAMING CAPTURE BOX-CU4K30,TUF GAMING CAPTURE BOX-CU4K30
accessories,TUF Gaming Capture Box-FHD120,TUF Gaming Capture Box-FHD120
graphics-cards,GT730-SL-2GD5-BRK,GT730-SL-2GD5-BRK
graphics-cards,GT730-SL-2GD5-BRK-E,GeForce® GT 730 2GB GDDR5
graphics-cards,PH-GTX1050TI-4G,PH-GTX1050TI-4G
graphics-cards,PH-RX550-4G-EVO,PH-RX550-4G-EVO
graphics-cards,GT710-SL-1GD5,GT710-SL-1GD5
graphics-cards,GT710-SL-2GD5,GT710-SL-2GD5
graphics-cards,GT1030-SL-2G-BRK,GT1030-SL-2G-BRK
graphics-cards,PH-GT1030-O2G,PH-GT1030-O2G
graphics-cards,XG-STATION-PRO,XG-STATION-PRO
graphics-cards,GT1030-SL-2GD4-BRK,GT1030-SL-2GD4-BRK
accessories,ROG-NVLINK,ROG-NVLINK
graphics-cards,DUAL-RTX2080-O8G-EVO,DUAL-RTX2080-O8G-EVO
graphics-cards,DUAL-RTX2070-O8G-EVO,DUAL-RTX2070-O8G-EVO
graphics-cards,PH-GTX1660TI-O6G,PH-GTX1660TI-O6G
graphics-cards,DUAL-GTX1660TI-O6G,DUAL-GTX1660TI-O6G
graphics-cards,TUF-GTX1660TI-O6G-GAMING,TUF-GTX1660TI-O6G-GAMING
graphics-cards,TUF-GTX1660TI-O6G-EVO-GAMING,TUF Gaming GeForce® GTX 1660 Ti EVO OC Edition 6GB GDDR6
graphics-cards,TUF-GTX1660TI-6G-EVO-GAMING,TUF Gaming GeForce® GTX 1660 Ti EVO 6GB GDDR6
graphics-cards,TUF-GTX1660TI-T6G-EVO-GAMING,TUF Gaming GeForce® GTX 1660 Ti EVO TOP Edition 6GB GDDR6
graphics-cards,PH-GTX1660-O6G,PH-GTX1660-O6G
graphics-cards,TUF-GTX1660-O6G-GAMING,TUF-GTX1660-O6G-GAMING
graphics-cards,PH-GTX1650-O4G,PH-GTX1650-O4G
graphics-cards,DUAL-GTX1650-O4G,DUAL-GTX1650-O4G
graphics-cards,DUAL-GTX1650-4G,DUAL-GTX1650-4G
graphics-cards,DUAL-GTX1660-O6G-EVO,DUAL-GTX1660-O6G-EVO
graphics-cards,TUF3-GTX1660-O6G-GAMING,TUF3-GTX1660-O6G-GAMING
graphics-cards,TUF 3-RX5700-O8G-EVO-GAMING,TUF 3-RX5700-O8G-EVO-GAMING
graphics-cards,TUF 3-GTX1660S-O6G-GAMING,TUF 3-GTX1660S-O6G-GAMING
graphics-cards,DUAL-GTX1660S-O6G-EVO,DUAL-GTX1660S-O6G-EVO
graphics-cards,TUF GAMING X3 GeForce GTX 1660 SUPER ZAKU II EDITION,TUF GAMING X3 GeForce GTX 1660 SUPER ZAKU II EDITION
graphics-cards,PH-GTX1660S-O6G,PH-GTX1660S-O6G
graphics-cards,TUF-GTX1660S-O6G-GAMING,TUF-GTX1660S-O6G-GAMING
graphics-cards,PH-GTX1650S-O4G,PH-GTX1650S-O4G
graphics-cards,TUF-GTX1650S-O4G-GAMING,TUF-GTX1650S-O4G-GAMING
graphics-cards,GT710-4H-SL-2GD5,GT710-4H-SL-2GD5
graphics-cards,TUF-GTX1650-O4GD6-GAMING,TUF-GTX1650-O4GD6-GAMING
graphics-cards,TUF-GTX1650-4GD6-GAMING,TUF-GTX1650-4GD6-GAMING
graphics-cards,PH-GTX1650-O4GD6,PH-GTX1650-O4GD6
graphics-cards,PH-GTX1650-4GD6,PH-GTX1650-4GD6
graphics-cards,DUAL-GTX1650-O4GD6-MINI,DUAL-GTX1650-O4GD6-MINI
graphics-cards,ROG-STRIX-GTX1650-O4GD6-GAMING,ROG-STRIX-GTX1650-O4GD6-GAMING
graphics-cards,ROG-STRIX-GTX1650-A4GD6-GAMING,ROG-STRIX-GTX1650-A4GD6-GAMING
graphics-cards,PH-GTX1650-O4G-V2,PH-GTX1650-O4G-V2
graphics-cards,PH-GTX1650-4G-V2,PH-GTX1650-4G-V2
graphics-cards,PH-GTX1650-O4GD6-P,PH-GTX1650-O4GD6-P
graphics-cards,TUF-GTX1650-O4GD6-P-GAMING,TUF-GTX1650-O4GD6-P-GAMING
graphics-cards,RTX3080-10G-EK,RTX3080-10G-EK
graphics-cards,RTX3090-24G-EK,RTX3090-24G-EK
graphics-cards,ROG-STRIX-RTX3090-24G-GAMING,ROG-STRIX-RTX3090-24G-GAMING
graphics-cards,ROG-STRIX-RTX3090-O24G-GAMING,ROG-STRIX-RTX3090-O24G-GAMING
graphics-cards,ROG-STRIX-RTX3090-O24G-WHITE,ROG-STRIX-RTX3090-O24G-WHITE
graphics-cards,ROG-STRIX-RTX3090-O24G-EVA,ROG Strix GeForce RTX 3090 EVA 限定版 顯示卡
graphics-cards,ROG-STRIX-RTX3080-10G-GAMING,ROG-STRIX-RTX3080-10G-GAMING
graphics-cards,ROG-STRIX-RTX3080-O10G-GAMING,ROG-STRIX-RTX3080-O10G-GAMING
graphics-cards,ROG-STRIX-GeForce-RTX-3080-GUNDAM-EDITION,ROG-STRIX-GeForce-RTX-3080-GUNDAM-EDITION
graphics-cards,ROG-STRIX-RTX3080-O10G-WHITE,ROG-STRIX-RTX3080-O10G-WHITE
graphics-cards,ROG-STRIX-RTX3080-10G-WHITE,ROG-STRIX-RTX3080-10G-WHITE
graphics-cards,ROG-STRIX-RTX3080-O10G-V2-GAMING,ROG-STRIX-RTX3080-O10G-V2-GAMING
graphics-cards,ROG-STRIX-RTX3080-10G-V2-GAMING,ROG-STRIX-RTX3080-10G-V2-GAMING
graphics-cards,ROG-STRIX-RTX3080-O10G-WHITE-V2,ROG-STRIX-RTX3080-O10G-WHITE-V2
graphics-cards,ROG-STRIX-RTX3080-10G-WHITE-V2,ROG-STRIX-RTX3080-10G-WHITE-V2
graphics-cards,ROG-STRIX-RTX3080-O12G-GAMING,ROG Strix GeForce RTX™ 3080 OC Edition 12GB
graphics-cards,ROG-STRIX-RTX3080-O12G-EVA,ROG Strix GeForce RTX 3080 12GB EVA 限定版 顯示卡
graphics-cards,TUF-RTX3080-10G-GAMING,TUF-RTX3080-10G-GAMING
graphics-cards,TUF-RTX3080-O10G-GAMING,TUF-RTX3080-O10G-GAMING
graphics-cards,TUF-RTX3080-O10G-V2-GAMING,TUF Gaming GeForce RTX™ 3080 V2 OC edition
graphics-cards,TUF-RTX3080-10G-V2-GAMING,TUF Gaming GeForce RTX™ 3080 V2
graphics-cards,TUF-RTX3080-12G-GAMING,TUF Gaming GeForce RTX™ 3080 12GB
graphics-cards,TUF-RTX3080-O12G-GAMING,TUF Gaming GeForce RTX™ 3080 OC Edition 12GB
graphics-cards,RTX3080-O10G-NOCTUA,ASUS GeForce RTX 3080 Noctua OC 超頻特仕版 10GB GDDR6X
graphics-cards,TUF-RTX3090-24G-GAMING,TUF-RTX3090-24G-GAMING
graphics-cards,TUF-RTX3090-O24G-GAMING,TUF-RTX3090-O24G-GAMING
graphics-cards,ROG-STRIX-LC-RX6800XT-O16G-GAMING,ROG-STRIX-LC-RX6800XT-O16G-GAMING
graphics-cards,TUF-RX6800XT-O16G-GAMING,TUF-RX6800XT-O16G-GAMING
graphics-cards,ROG-STRIX-RX6800-O16G-GAMING,ROG-STRIX-RX6800-O16G-GAMING
graphics-cards,TUF-RX6800-O16G-GAMING,TUF-RX6800-O16G-GAMING
graphics-cards,TURBO-RTX3070-8G,TURBO-RTX3070-8G
graphics-cards,TURBO-RTX3070-8G-V2,Turbo GeForce RTX™ 3070 V2
graphics-cards,DUAL-RTX3070-O8G,DUAL-RTX3070-O8G
graphics-cards,DUAL-RTX3070-8G,DUAL-RTX3070-8G
graphics-cards,KO-RTX3070-O8G-GAMING,KO-RTX3070-O8G-GAMING
graphics-cards,TUF-RTX3070-O8G-GAMING,TUF-RTX3070-O8G-GAMING
graphics-cards,TUF-RTX3070-8G-GAMING,TUF-RTX3070-8G-GAMING
graphics-cards,DUAL-RTX3070-O8G-V2,Dual GeForce RTX™️ 3070 V2 OC edition
graphics-cards,DUAL-RTX3070-8G-V2,Dual GeForce RTX™️ 3070 V2
graphics-cards,KO-RTX3070-O8G-V2-GAMING,KO GeForce RTX™ 3070 V2 OC Edition
graphics-cards,TUF-RTX3070-O8G-V2-GAMING,TUF Gaming GeForce RTX™ 3070 V2 OC Edition
graphics-cards,RTX3070-O8G-NOCTUA,ASUS GeForce RTX 3070 Noctua OC Edition 8GB GDDR6
graphics-cards,ROG-STRIX-RTX3070-8G-GAMING,ROG-STRIX-RTX3070-8G-GAMING
graphics-cards,ROG-STRIX-RTX3070-O8G-GAMING,ROG-STRIX-RTX3070-O8G-GAMING
graphics-cards,ROG-STRIX-RTX3070-O8G-WHITE,ROG-STRIX-RTX3070-O8G-WHITE
graphics-cards,ROG-STRIX-RTX3070-O8G-V2-GAMING,ROG-STRIX-RTX3070-O8G-V2-GAMING
graphics-cards,ROG-STRIX-RTX3070-O8G-WHITE-V2,ROG-STRIX-RTX3070-O8G-WHITE-V2
graphics-cards,DUAL-RTX3060TI-O8G-MINI,DUAL-RTX3060TI-O8G-MINI
graphics-cards,DUAL-RTX3060TI-O8G-MINI-V2,DUAL GeForce RTX™ 3060 Ti V2 MINI OC Edition
graphics-cards,DUAL-RTX3060TI-8G-MINI-V2,DUAL GeForce RTX™ 3060 Ti V2 MINI
graphics-cards,RX6800XT-16G,RX6800XT-16G
graphics-cards,ROG-STRIX-RTX3060TI-8G-GAMING,ROG-STRIX-RTX3060TI-8G-GAMING
graphics-cards,ROG-STRIX-RTX3060TI-O8G-GAMING,ROG-STRIX-RTX3060TI-O8G-GAMING
graphics-cards,ROG-STRIX-RTX3060TI-O8G-V2-GAMING,ROG-STRIX-RTX3060TI-O8G-V2-GAMING
graphics-cards,ROG-STRIX-RTX3060TI-8G-V2-GAMING,ROG-STRIX-RTX3060TI-8G-V2-GAMING
graphics-cards,TUF-RTX3060TI-O8G-GAMING,TUF-RTX3060TI-O8G-GAMING
graphics-cards,DUAL-RTX3060TI-O8G,DUAL-RTX3060TI-O8G
graphics-cards,DUAL-RTX3060TI-8G,DUAL-RTX3060TI-8G
graphics-cards,KO-RTX3060TI-O8G-GAMING,KO-RTX3060TI-O8G-GAMING
graphics-cards,KO-RTX3060TI-8G-GAMING,KO-RTX3060TI-8G-GAMING
graphics-cards,TUF-RTX3060TI-O8G-V2-GAMING,TUF Gaming GeForce RTX™ 3060 Ti V2 OC Edition
graphics-cards,TUF-RTX3060TI-8G-V2-GAMING,TUF Gaming GeForce RTX™ 3060 Ti V2
graphics-cards,KO-RTX3060TI-O8G-V2-GAMING,KO GeForce RTX™ 3060 Ti V2 OC Edition
graphics-cards,KO-RTX3060TI-8G-V2-GAMING,KO GeForce RTX™ 3060 Ti V2
graphics-cards,DUAL-RTX3060TI-O8G-V2,Dual GeForce RTX™ 3060 Ti V2 OC Edition
graphics-cards,DUAL-RTX3060TI-8G-V2,Dual GeForce RTX™ 3060 Ti V2
graphics-cards,TUF-RX6700XT-O12G-GAMING,TUF-RX6700XT-O12G-GAMING
graphics-cards,ROG-STRIX-RX6700XT-O12G-GAMING,ROG-STRIX-RX6700XT-O12G-GAMING
graphics-cards,DUAL-RX6700XT-12G,DUAL-RX6700XT-12G
graphics-cards,DUAL-RX6700XT-O12G,Dual Radeon™ RX 6700 XT OC Edition
graphics-cards,TURBO-RTX3080-10G,TURBO-RTX3080-10G
graphics-cards,TURBO-RTX3080-10G-V2,Turbo GeForce RTX™ 3080 V2
graphics-cards,DUAL-RTX3060-O12G,DUAL-RTX3060-O12G
graphics-cards,DUAL-RTX3060-O12G-V2,Dual GeForce RTX 3060 V2 OC Edition
graphics-cards,DUAL-RTX3060-12G,DUAL-RTX3060-12G
graphics-cards,DUAL-RTX3060-12G-V2,Dual GeForce RTX 3060 V2 
graphics-cards,PH-RTX3060-12G-V2,Phoenix GeForce RTX 3060 V2
graphics-cards,PH-RTX3060-12G,PH-RTX3060-12G
graphics-cards,Dual-RTX3060-O8G,ASUS Dual GeForce RTX 3060 OC Edition 8GB GDDR6
graphics-cards,DUAL-RTX3060-O8G-WHITE,ASUS Dual GeForce RTX 3060 White OC Edition 8GB GDDR6
graphics-cards,DUAL-RTX3060-O12G-WHITE,ASUS Dual GeForce RTX 3060 White OC Edition 12GB GDDR6
graphics-cards,TUF-RTX3060-O12G-GAMING,TUF-RTX3060-O12G-GAMING
graphics-cards,TUF-RTX3060-O12G-V2-GAMING,TUF Gaming GeForce RTX 3060 V2 OC Edition
graphics-cards,TUF-RTX3060-12G-V2-GAMING,TUF Gaming GeForce RTX 3060 V2
graphics-cards,ROG-STRIX-RTX3060-O12G-V2-GAMING,ROG-STRIX-RTX3060-O12G-V2-GAMING
graphics-cards,ROG-STRIX-RTX3060-O12G-GAMING,ROG-STRIX-RTX3060-O12G-GAMING
graphics-cards,ROG-STRIX-RTX3060-12G-V2-GAMING,ROG-STRIX-RTX3060-12G-V2-GAMING
graphics-cards,KO-RTX3060-O12G-GAMING,KO-RTX3060-O12G-GAMING
graphics-cards,KO-RTX3060-O12G-V2-GAMING,KO GeForce RTX 3060 V2 OC Edition
graphics-cards,KO-RTX3060-12G-V2-GAMING,KO GeForce RTX 3060 V2
graphics-cards,TUF-RX6900XT-O16G-GAMING,TUF-RX6900XT-O16G-GAMING
graphics-cards,ROG-STRIX-LC-RX6900XT-O16G-GAMING,ROG-STRIX-LC-RX6900XT-O16G-GAMING
graphics-cards,ROG-STRIX-LC-RX6900XT-T16G-GAMING,ROG-STRIX-LC-RX6900XT-T16G-GAMING
graphics-cards,RX6900XT-16G,RX6900XT-16G
graphics-cards,DUAL-RTX3050-O8G-V2,ASUS Dual GeForce RTX™ 3050 V2 OC 超頻版 8GB GDDR6
graphics-cards,PH-RTX3050-8G-V2,ASUS Phoenix GeForce RTX™ 3050 V2 8GB GDDR6
graphics-cards,ROG-STRIX-RX6600XT-O8G-GAMING,ROG-STRIX-RX6600XT-O8G-GAMING
graphics-cards,DUAL-RX6600XT-O8G,Dual Radeon™ RX 6600 XT OC Edition
graphics-cards,DUAL-RX6600-8G,ASUS Dual Radeon™ RX 6600
graphics-cards,DUAL-RX6600-8G-V2,ASUS Dual Radeon™ RX 6600 V2 8GB GDDR6
graphics-cards,RX6700XT-12G,RX6700XT-12G
graphics-cards,ROG-STRIX-RTX2060-O6G-EVO-V2-GAMING,ROG-STRIX-RTX2060-O6G-EVO-V2-GAMING
graphics-cards,ROG-STRIX-RTX3080TI-O12G-GAMING,ROG-STRIX-RTX3080TI-O12G-GAMING
graphics-cards,ROG-STRIX-LC-RTX3080TI-O12G-GAMING,ROG-STRIX-LC-RTX3080TI-O12G-GAMING
graphics-cards,TUF-RTX3080TI-12G-GAMING,TUF Gaming GeForce RTX™ 3080 Ti
graphics-cards,TUF-RTX3080TI-O12G-GAMING,TUF Gaming GeForce RTX™ 3080 Ti OC 超頻版
graphics-cards,ROG-STRIX-RTX3070TI-O8G-GAMING,ROG-STRIX-RTX3070TI-O8G-GAMING
graphics-cards,ROG-STRIX-RTX3070TI-8G-GAMING,ROG-STRIX-RTX3070TI-8G-GAMING
graphics-cards,PH-GTX1650-O4GD6-P-EVO,ASUS Phoenix GeForce GTX 1650 EVO OC Edition 4GB GDDR6
graphics-cards,DUAL-GTX1650-O4GD6-P-V2,ASUS Dual GeForce GTX 1650 V2 OC Edition 4GB GDDR6
graphics-cards,TUF-RTX3070TI-O8G-GAMING,TUF Gaming GeForce RTX™ 3070 Ti OC超頻版
graphics-cards,TUF-RTX3070TI-8G-GAMING,TUF Gaming GeForce RTX™ 3070 Ti
graphics-cards,GT730-4H-SL-2GD5,ASUS GeForce® GT 730
graphics-cards,DUAL-RTX3070-8G-SI,ASUS Dual GeForce RTX™️ 3070 SI Edition
graphics-cards,DUAL-RX6400-4G,ASUS Dual Radeon™ RX 6400
graphics-cards,PH-RX6400-4G,ASUS Phoenix Radeon™ RX 6400
graphics-cards,TUF-RX6500XT-O4G-GAMING,ASUS TUF Gaming Radeon™ RX 6500 XT OC edition 4GB GDDR6
graphics-cards,DUAL-RX6500XT-O4G,ASUS Dual Radeon™ RX 6500 XT OC Edition
graphics-cards,ROG-Strix-LC-RTX3090Ti-O24G-Gaming,ROG-Strix-LC-RTX3090Ti-O24G-Gaming
graphics-cards,TUF-RTX3090TI-O24G-GAMING,TUF Gaming GeForce RTX™ 3090 Ti OC 超頻版 24GB
graphics-cards,TUF-RTX3090TI-24G-GAMING,ASUS TUF Gaming GeForce RTX™ 3090 Ti 24GB GDDR6X
graphics-cards,DUAL-RX560-4G,ASUS Dual Radeon™ RX 560
graphics-cards,DUAL-RTX3050-O8G,ASUS Dual GeForce RTX™ 3050 OC 超頻版 8GB
graphics-cards,PH-RTX3050-8G,ASUS Phoenix GeForce RTX™ 3050 8GB
graphics-cards,ROG-STRIX-RTX3050-O8G-GAMING,ROG Strix GeForce RTX™ 3050 OC Edition 8GB
graphics-cards,ROG-STRIX-RX6650XT-O8G-GAMING,ROG Strix Radeon™ RX 6650 XT OC超頻版  8GB GDDR6
graphics-cards,DUAL-RX6750XT-O12G,ASUS Dual Radeon™ RX 6750 XT OC 超頻版 12GB GDDR6
graphics-cards,ROG-STRIX-RX6750XT-O12G-GAMING,ROG Strix Radeon™ RX 6750 XT OC 超頻版 12GB GDDR6
graphics-cards,DUAL-RX6650XT-O8G,ASUS Dual Radeon™ RX 6650 XT OC超頻版 8GB GDDR6
graphics-cards,TUF-RTX3050-O8G-GAMING,ASUS TUF Gaming GeForce RTX™ 3050 OC Edition 8GB GDDR6
graphics-cards,GT730-SL-2GD3-BRK-EVO,ASUS GeForce® GT 730 2GB DDR3 EVO
graphics-cards,ROG-STRIX-RX560-4G-V2-GAMING,ROG Strix Radeon™ RX 560 V2 4GB GDDR5
graphics-cards,TUF-RX6950XT-O16G-GAMING,ASUS TUF Gaming Radeon™ RX 6950 XT OC超頻版16GB GDDR6
graphics-cards,PH-GTX1630-4G,ASUS Phoenix GeForce GTX 1630 4GB
graphics-cards,TUF-RTX4080-O16G-GAMING,ASUS TUF Gaming GeForce RTX™ 4080 OC超頻版 16GB GDDR6X
graphics-cards,TUF-RTX4080-16G-GAMING,ASUS TUF Gaming GeForce RTX™ 4080 16GB GDDR6X
graphics-cards,RTX4080-O16G-NOCTUA,ASUS GeForce RTX™ 4080 16GB GDDR6X Noctua OC 超頻特仕版
graphics-cards,ROG-STRIX-RTX4080-O16G-GAMING,ROG Strix GeForce RTX™ 4080 OC 超頻版 16GB GDDR6X
graphics-cards,ROG-STRIX-RTX4080-16G-GAMING,ROG Strix GeForce RTX™ 4080 16GB GDDR6X
graphics-cards,ROG-STRIX-RTX4080-O16G-WHITE,ROG Strix GeForce RTX™ 4080 潮競白 OC 超頻版 16GB GDDR6X
graphics-cards,ROG-STRIX-RTX4080-16G-WHITE,ROG Strix GeForce RTX™ 4080 潮競白 16GB GDDR6X
graphics-cards,ROG-STRIX-RTX4090-O24G-GAMING,ROG Strix GeForce RTX™ 4090 OC 超頻版 24GB GDDR6X
graphics-cards,ROG-STRIX-RTX4090-O24G-WHITE,ROG Strix GeForce RTX™ 4090 潮競白 OC 超頻版 24GB GDDR6X
graphics-cards,ROG-STRIX-RTX4090-24G-WHITE,ROG Strix GeForce RTX™ 4090 潮競白 24GB GDDR6X
graphics-cards,ROG-STRIX-RTX4090-O24G-EVA-02-EDITION,ROG Strix GeForce RTX™ 4090 24GB GDDR6X OC 超頻 EVA-02 限定版
graphics-cards,ROG-MATRIX-RTX4090-P24G-GAMING,ROG Matrix Platinum GeForce RTX™ 4090 24GB GDDR6X
graphics-cards,TUF-RTX4090-O24G-GAMING,ASUS TUF Gaming GeForce RTX™ 4090 OC 超頻版 24GB GDDR6X
graphics-cards,TUF-RTX4090-24G-GAMING,ASUS TUF Gaming GeForce RTX™ 4090 24GB GDDR6X
graphics-cards,TUF-RX7900XTX-O24G-GAMING,ASUS TUF Gaming Radeon RX 7900 XTX OC Edition 24GB GDDR6
graphics-cards,ROG-STRIX-RX7600-O8G-GAMING,ROG Strix Radeon™ RX 7600 OC 超頻版 8GB GDDR6
graphics-cards,DUAL-RX7600-O8G,ASUS Dual Radeon™ RX 7600 OC 超頻版 8GB GDDR6
graphics-cards,DUAL-RX7600-O8G-V2,ASUS Dual Radeon™ RX 7600 V2 超頻版 8GB GDDR6
graphics-cards,ROG-STRIX-RTX4070TI-O12G-GAMING,ROG Strix GeForce RTX 4070 Ti 12GB GDDR6X OC 超頻版
graphics-cards,ROG-STRIX-RTX4070TI-12G-GAMING,ROG Strix GeForce RTX 4070 Ti 12GB GDDR6X
